"구분(1)",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분(1)",총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타,총계,국비,지방비,지방비,지방비,지방비,치관,지방채,세입수수료,기타
"구분(1)",소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계,소계,소계,소계,광역시도,지자체 시군구,지자체 시군구,소계,소계,소계,소계
"구분(1)",소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계,소계,소계,소계,자체 예산,시도지원예산,자체예산,소계,소계,소계,소계
"합계",4108828398,196132388,3281805611,271755603,52104408,2957945600,0,2192395,628236236,461768,4110786308,165210275,3248620227,215005604,62035302,2971579321,0,66053571,630902235,0,4326342760,125928939,3465537531,289152812,64597314,3111787405,0,8653020,718826270,7397000,4518420114,87132022,3652782984,361088584,29423175,3262271225,0,1000000,758626783,18878325,5383262664,101704901,4169710588,390450729,32546007,3746713852,0,2000000,1073341446,36505729,5872871775,98738523,4562771184,370671347,34747162,4157352675,0,7500000,1200359196,3502872,6504890605,107700555,5127220282,414246297,38807595,4674166390,0,16300000,1250533799,3135969,6942985584,96459259,5474561747,434920855,147811475,4891829417,0,4500000,1367424578,40000,7371709122,109477897,5774954879,445559192,59437255,5269958432,0,34235578,1452464369,576399,7792871607,134108551,6079007922,432272800,137240376,5509494746,0,11800000,1567745134,210000
"서울특별시",710346530,4033600,658572402,124325776,3536851,530709775,0,0,47740528,0,679843294,0,633954572,129607619,34711035,469635918,0,6385571,39503151,0,713712984,13500,652947772,120281262,3128161,529538349,0,0,60751712,0,762517008,0,667605625,151519325,4957537,511128763,0,0,94911383,0,1071540274,0,839667638,154015034,3887240,681765364,0,0,219854000,12018636,1132587234,0,890462234,137349786,1769876,751342572,0,0,242125000,0,1243705475,741500,985980575,146865196,3276939,835838440,0,0,256983400,0,1275000559,4771900,995989659,145190040,6781664,844017955,0,0,274239000,0,1304940435,9883500,1009849334,141115289,4848145,863885900,0,0,285207601,0,1410298564,8150900,1114231664,146442633,7396284,960392747,0,0,287906000,10000
"부산광역시",301546105,43793400,206892217,25557797,4460536,176873884,0,2083720,48776768,0,325981461,59034900,220316288,0,4515379,215800909,0,0,46630273,0,318247665,0,249264676,60720955,2811928,185731793,0,4250000,64732989,0,338444554,0,260710219,54836797,3066243,202807179,0,1000000,76734335,0,362975090,0,282409246,59550226,3552233,219306787,0,2000000,78565844,0,371318579,0,279228976,45946857,4112621,229169498,0,7500000,84589603,0,391482113,2511800,297370751,49286272,3362257,244722222,0,8300000,83299562,0,375644748,5375000,283859135,47003534,2472402,234383199,0,4500000,81910613,0,426667238,7626600,302128302,45341977,1354939,255431386,0,30680000,86232336,0,432233653,3407940,334444719,59577962,2569548,272297209,0,4500000,89880994,0
"대구광역시",211532091,15097580,165013333,33273554,596611,131143168,0,0,31421178,0,261412061,13862100,159959118,34788950,626500,124543668,0,59528000,28062843,0,223890475,30925620,164772020,26016429,665027,138090564,0,0,28192835,0,240887748,19612000,186287898,38884134,697700,146706064,0,0,34987850,0,263632868,1436600,211524460,39485121,2707547,169331792,0,0,50671808,0,305864729,99380,221186223,35451703,4378857,181355663,0,0,84579126,0,306405400,438800,242638544,35941791,1764927,204931826,0,0,63328056,0,367917245,6156300,260631341,30859780,2090149,227681412,0,0,101129604,0,352972153,2737465,282692337,37205306,3047300,242439731,0,0,66965952,576399,352090255,3928000,266782109,33353392,2094430,231334287,0,4800000,76580146,0
"인천광역시",156500373,438903,119009428,0,1925428,117084000,0,0,37052042,0,174057039,657586,139593309,0,1515410,138077899,0,0,33806144,0,178128859,89900,139862450,0,794387,139068063,0,0,38176509,0,192596159,52700,155698395,0,5155776,150542619,0,0,36845064,0,316311287,15375500,222866051,42501351,3635704,176728996,0,0,78069736,0,338793494,17764848,237598368,46042396,2662431,188893541,0,0,83430278,0,383040268,2584943,292061654,51098894,8517516,232445244,0,0,88393671,0,375964734,1992110,277471168,67348676,11394492,198728000,0,0,96501456,0,447091940,4755645,328815474,51434439,9023551,268357484,0,0,113520821,0,457087867,6145205,321208478,0,15879411,305329067,0,0,129734184,0
"광주광역시",120112043,10124500,84578540,33704696,651119,50222725,0,0,25409003,0,77774249,115512,51703755,0,983635,50720120,0,0,25954982,0,71513254,338300,45596585,0,344046,45252539,0,0,25578369,0,94450006,253100,67011628,0,414150,66597478,0,0,27185278,0,108850253,2000,72703788,0,368580,72335208,0,0,36144465,0,134775120,576600,97659375,20494139,989505,76175731,0,0,36539145,0,128270936,801484,96328162,15709778,1137997,79480387,0,0,31141290,0,156437463,480300,117844538,24276016,2584650,90983872,0,0,38112625,0,157997954,0,113468766,10633456,2675495,100159815,0,0,44529188,0,172384314,882000,118126298,27073251,3096836,87956211,0,0,53376016,0
"대전광역시",138623064,5968720,105158684,43677185,1315000,60166499,0,0,27495660,0,128071344,13268930,87767404,22631670,998278,64137456,0,0,27035010,0,143052755,13287400,100112174,27763616,1295200,71053358,0,0,29653181,0,107131018,480700,78614624,23216146,1659740,53738738,0,0,28035694,0,127572606,700,80156248,21939315,1193560,57023373,0,0,47415658,0,109922168,120700,75941468,0,143560,75797908,0,0,33860000,0,162650793,43900,105691563,0,1250208,104441355,0,0,56915330,0,205589986,0,150666758,35332541,2491123,112843094,0,0,54923228,0,219625768,0,159951525,49184290,2736385,108030850,0,0,59674243,0,250179501,11753400,174937971,45849002,3926245,125162724,0,0,63488130,0
